,Column Name,Correlation
5418,popularity,0.6716080001680267
5465,track_genre|hip-hop,0.6331626680552016
1756,artist | frank_ocean,0.24553496475537046
5512,track_genre|soul,0.22122447126537279
447,artist | anirudh_ravichander,0.20533989749384143
4348,artist | sidhu_moose_wala,0.20147237102482402
483,artist | ap_dhillon,0.175789858523812
5521,mode|0,0.15063926371670236
5438,track_genre|dance,0.14308206877746327
5524,key|1,0.13423881902349483
1568,artist | eminem,0.13139235352624737
1940,artist | gurinder_gill,0.1308029342473311
2814,artist | lil_nas_x,0.12639959956088592
5000,artist | travis_scott,0.11436657827472559
4310,artist | shinda_kahlon,0.10941046483136858
5479,track_genre|latino,0.10379735041644636
611,artist | bad_bunny,0.1030659496807226
1885,artist | gminxr,0.1021272817306023
2635,artist | king,0.09846785185020814
1443,artist | drake,0.09632660452193492
619,artist | badshah,0.09449581412483196
4334,artist | shubh,0.09050697852866114
2534,artist | karan_aujla,0.08696895978556685
1379,artist | divine,0.08313839592338029
5306,artist | yo_yo_honey_singh,0.07835310429945251
4804,artist | the_kid_laroi,0.07804051401870284
1941,artist | guru_randhawa,0.07780628178048829
3023,artist | manni_sandhu,0.0770874992261198
5501,track_genre|rock,0.07347518639444753
4587,artist | sunny_malton,0.07334395195268928
2143,artist | imran_khan,0.07301956497694449
4682,artist | tegi_pannu,0.07111252338703518
3157,artist | mc_stan,0.070230074058935
2039,artist | hiphop_tamizha,0.06722503430746025
3301,artist | money_musik,0.06448184014877455
2695,artist | kyla,0.06302256478217312
2264,artist | jass_manak,0.06289851954280347
296,artist | akhil,0.06184690794950683
5132,artist | vilen,0.06158843160183393
3019,artist | maninder_buttar,0.061257721383132735
2345,artist | jigar,0.05987848151534934
4107,artist | sachin,0.05987848151534934
4843,artist | the_prophec,0.05780656375550338
2205,artist | jack_harlow,0.05736028519577125
4519,artist | stephen_zechariah,0.056247523638594484
2419,artist | jordan_sandhu,0.05560139105600555
5349,artist | zack_knight,0.05393679133461372
3851,artist | quevedo,0.05336266183596448
746,artist | bizarrap,0.05336266183596448
4891,artist | the_weeknd,0.0513204817310111
2164,artist | intense,0.05087468919160361
520,artist | armani_white,0.050663918375581624
4809,artist | the_landers,0.05056527301836489
804,artist | bohemia,0.05005179681095453
3298,artist | momina_mustehsan,0.049803025450128026
5491,track_genre|pop,0.04952750727651179
5478,track_genre|latin,0.0495039715394447
5332,artist | yung_gravy,0.04932739211036303
2662,artist | kr,0.04894009179014608
3373,artist | na,0.04894009179014608
726,artist | bilal_saeed,0.04850715684753706
2854,artist | lizzo,0.04844328334931323
2414,artist | jonita_gandhi,0.04781460063444911
1673,artist | feid,0.04753495016480781
1361,artist | dina_rae,0.047295139962148104
495,artist | ar_paisley,0.046685026565693274
3913,artist | rauw_alejandro,0.04649691121014017
60,artist | _cole,0.046270530207674965
5147,artist | vishal_dadlani,0.04610681859526728
1413,artist | doja_cat,0.04598932275963509
1196,artist | dabzee,0.04588500422694641
4097,artist | sa,0.04588500422694641
4354,artist | signature_by_sb,0.045846347360734084
708,artist | bhalwaan,0.045846347360734084
389,artist | amber_coffman,0.04580632691200647
4805,artist | the_kidd,0.045589211268546946
3208,artist | michael_jackson,0.04514290558566438
465,artist | anthony_daasan,0.0450362935132932
3916,artist | ravi_g,0.04410787132916428
1336,artist | dhanush,0.04402188558276964
3357,artist | mustafa_zahid,0.04374055422896656
3909,artist | rashmeet_kaur,0.043719344144450854
508,artist | ariana_grande,0.043626882629511005
437,artist | andré_3000,0.04356915150382563
2491,artist | justin_bieber,0.04327892205839221
1791,artist | future,0.04308337119037741
3529,artist | nora_fatehi,0.04294968194590051
3172,artist | mehar_vaani,0.042488160240428
3089,artist | masked_wolf,0.042178490356346875
3882,artist | raja_kumari,0.04185999857095728
732,artist | billie_eilish,0.04178609731171266
3591,artist | omar_apollo,0.04178386071566787
5450,track_genre|folk,0.04173163175010288
4492,artist | srinisha_jayaseelan,0.04163893043322882
4568,artist | sukhwinder_singh,0.04160754636234274
5052,artist | umair,0.041494328819095934
313,artist | aleemrk,0.041494328819095934
3658,artist | paradox,0.04145118332958875
2520,artist | kamal_haasan,0.040901561045723116
2139,artist | imagine_dragons,0.04054218806816565
2540,artist | karol_g,0.04050399024526241
4814,artist | the_local_train,0.04037975114745844
2092,artist | hvme,0.040153777260667683
3484,artist | nikhita_gandhi,0.03978640588201395
2267,artist | jaura_phagwara,0.039514603649129725
995,artist | chani_nattan,0.03948315588409246
2148,artist | inderpal_moga,0.03948315588409246
218,artist | aastha_gill,0.039409147905374316
1569,artist | emiway_bantai,0.03939444061030906
3867,artist | raftaar,0.03937273918161751
349,artist | alicia_keys,0.03914033952470417
4596,artist | surfaces,0.038987556903224925
2582,artist | kendrick_lamar,0.038730819324402886
1323,artist | desi_crew,0.038441779446554046
1854,artist | ghostemane,0.03841805603651621
3735,artist | phonk,0.03828825213448033
5160,artist | vtornik,0.03828825213448033
1021,artist | chencho_corleone,0.03822028975409218
513,artist | arjun_kanungo,0.038208652939792795
227,artist | abhijit_vaghani,0.038193673087545246
5301,artist | yg,0.037944598262333075
343,artist | ali_gatie,0.03751960270536293
5531,key|8,0.037503286482193976
5469,track_genre|indie-pop,0.03716395288082431
408,artist | amrit_maan,0.036846764231084746
5189,artist | wazir_patar,0.03678298126883122
5092,artist | varinder_brar,0.03667252706840865
1438,artist | dr_zeus,0.03648072960914838
3194,artist | metro_boomin,0.036432182352842034
905,artist | byg_bird,0.03640388550597605
1482,artist | dwayne_johnson,0.03594227299312929
2373,artist | joey_cool,0.03594227299312929
4675,artist | tech_n9ne,0.03594227299312929
2637,artist | king_iso,0.03594227299312929
3980,artist | rihanna,0.03591671279971543
1347,artist | dido,0.0358938001155219
3456,artist | nf,0.03583606185072327
4026,artist | rokesh,0.035664233952776216
1506,artist | ed_sheeran,0.03558220254668418
4291,artist | shawn_mendes,0.035385766099076135
3587,artist | olivia_rodrigo,0.035131649559319356
1988,artist | harry_styles,0.03506242269971424
4117,artist | sahithi_chaganti,0.034710336461036585
4143,artist | sam_smith,0.03426922431507237
11,artist | 21_savage,0.03415819261490869
4335,artist | shweta_mohan,0.034072840720490924
1805,artist | gana_balachandar,0.03389702490447676
344,artist | ali_quli_mirza,0.03383989036284793
881,artist | bruno_mars,0.03370056600424073
2126,artist | ikky,0.03350552849682749
248,artist | adithya_rk,0.03327949022342672
29,artist | 50_cent,0.03298520981591176
1224,artist | daniel_caesar,0.0329748763488529
1939,artist | guri,0.03295744521964034
2256,artist | jasmin_walia,0.032957445219640315
512,artist | arjun,0.032783089004480646
4168,artist | sanjana_kalmanje,0.03266665809897709
1175,artist | cults,0.032581369633443366
3692,artist | payal_dev,0.03248117611197333
2384,artist | john_legend,0.032291926461704534
5468,track_genre|indie,0.03226693362483754
4332,artist | shruti_haasan,0.03216876663456451
4275,artist | shamur,0.031996360410903306
