track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
25Ina8UAWTCrSiODtNBWyr,Krystina Alabado;Emma Hunton;Katie Thompson;Ben Fankhauser,The Mad Ones (Studio Cast Recording),Remember This,21,216950,False,0.446,0.443,8,-6.76,1,0.0447,0.767,0.0,0.112,0.224,119.966,1,show-tunes
00LvoGJplEaTcFLC0wIrQ9,G.E.M.,冰河時代,冰河時代,53,210785,False,0.619,0.569,7,-7.393,0,0.0367,0.11,2.64e-05,0.105,0.207,129.947,4,mandopop
6dM5sjSXtqrkdHEKQ1yn0f,Canção & Louvor,Eu Escolho Deus,Eu Escolho Deus,41,288006,False,0.527,0.664,7,-4.254,1,0.0295,0.226,0.0,0.121,0.228,83.934,4,gospel
38DE0yn1UzRWgaLsh0GJGZ,Feid,Fiesta portatil,Ferxxo 100,3,167760,False,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569,163.893,4,latin
67clciUOAVJ9z6E4MvIJrK,Anal Cunt,Immortalised,You're a Fucking Cunt,17,71893,True,0.351,0.988,4,-6.898,0,0.158,0.00102,0.66,0.334,0.108,104.079,4,grindcore
0izI75lnCS9WS8sDzBMC5Z,Carlo Pallavicino;Lea Desandre;Jupiter;Thomas Dunford,"Amazone - Pallavicino: L'Antiope: ""Sdegni, furori barbari""","Pallavicino: L'Antiope: ""Sdegni, furori barbari"" (Celinda)",21,73666,False,0.398,0.33,1,-14.102,1,0.0665,0.806,0.000768,0.0834,0.435,133.106,4,opera
0oeVHAgY8Q7Mdce5Quj2G4,MAMAMOO,MIC ON,ILLELLA,72,166053,False,0.523,0.83,11,-2.089,1,0.167,0.00359,0.0,0.0806,0.812,173.931,4,k-pop
7BHJeDZuB9QiTz7y5jewSj,Duman,Seni Kendime Sakladım,Sen Ben,38,204186,False,0.656,0.669,4,-5.535,1,0.0296,0.202,0.0,0.131,0.335,109.996,4,turkish
1vlzSY7AttAiAvSEe1JbVs,Elijah Who,Gentle Boy,crush on you,57,84023,False,0.578,0.172,1,-13.684,1,0.35,0.883,3.32e-06,0.401,0.424,138.717,4,chill
10esld81LEYoPMKGzHsXm3,Chad Daniels,Busy Being Awesome,The Gross Pillow,23,208080,True,0.537,0.783,2,-9.198,1,0.948,0.728,0.0,0.899,0.405,88.473,3,comedy
2hl92ACiOqUBNdnEZzO0NE,Chris Lanzon,Far From Perfect,Iris,60,172922,False,0.491,0.201,11,-15.469,1,0.0372,0.609,0.0,0.124,0.388,95.666,4,singer-songwriter
16I4GgcIDiTp8AUYsUjTfb,James Hype;Miggy Dela Rosa,Workout Hits 2023,Ferrari,2,186661,False,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4,deep-house
2DfbcpMNUvXHfCTXKPbYsh,The Police,80s Bangers Vol. 1,Roxanne - Remastered 2003,2,191506,False,0.615,0.752,0,-8.91,1,0.391,0.0397,1.37e-06,0.0479,0.66,133.977,4,rock
0trgRUeHWSFHZ0W1640dwA,Asha Bhosle;Abhijeet,Dilwale Dulhania Le Jayenge,Zara Sa Jhoom Loon Main,56,353693,False,0.606,0.552,0,-12.537,0,0.0764,0.681,6.87e-05,0.191,0.865,130.653,4,pop-film
2FlJAJvMqU36pBmkcnvbo8,George Frideric Handel;John Alldis Choir;London Philharmonic Orchestra;Karl Richter,Klassische Weihnachtsmusik,"Messiah, HWV 56 / Pt. 2: No. 42 ""Hallelujah""",0,238173,False,0.412,0.357,2,-11.694,1,0.0262,0.932,0.368,0.296,0.393,99.305,4,classical
6MY1xABxoZATrEr4FeUhEM,Damien Rice,O,Delicate,56,312066,False,0.34,0.144,5,-14.502,1,0.0419,0.684,0.00112,0.101,0.147,81.179,4,singer-songwriter
6AFTUVBIb96PVzaGzyQfvQ,Salvatore Scire;Luise Lunow,Coco (Deutscher Original Film-Soundtrack),Denk stets an mich (Wiedervereinigung),31,73653,False,0.532,0.0704,1,-16.727,1,0.0777,0.937,0.0,0.108,0.192,148.692,4,disney
6G1i0Uv6Nkhb9CnksXCfAx,Virtual Riot;Virus Syndicate,German Engineering EP,Show Up,41,267200,False,0.628,0.893,9,-4.206,1,0.146,0.00279,0.00173,0.0791,0.181,150.154,4,dubstep
1B4KDy5VAXxR8FayLvWlJu,mehro;AWAY,like you're god (AWAY Remix),like you're god (AWAY Remix),47,185142,False,0.663,0.446,11,-8.009,0,0.348,0.288,0.00524,0.324,0.221,139.6,3,singer-songwriter
2X9fsxb6O6bYEopJYmUbNC,Spandau Ballet,Gold - The Best of Spandau Ballet,Gold,61,231480,False,0.711,0.74,10,-7.776,0,0.0361,0.258,0.0111,0.104,0.639,143.053,4,synth-pop
12KMoAMzaeBFh91O5sxP2o,NWYR;W&W,The Lone Ranger,The Lone Ranger,63,156923,False,0.599,0.954,1,-5.088,0,0.353,0.0559,0.504,0.606,0.358,129.957,4,progressive-house
7xfsrMDsRXFXDJ202o4UJH,LOVA,REGNIG DAG,Black Converse,0,186732,True,0.775,0.41,3,-7.481,1,0.0464,0.724,2.62e-05,0.114,0.298,117.165,4,swedish
3bFCmv5uojftAq9ZeZFDUZ,Anupam Roy,"Shohage Adore (From ""Belashuru"")","Shohage Adore (From ""Belashuru"")",40,333157,False,0.659,0.321,7,-11.66,1,0.0287,0.629,0.00108,0.153,0.242,113.952,4,indie-pop
3dlUgF8A4cgCses2KnMPSE,Il Volo,Il Volo,Per Te,20,303360,False,0.139,0.359,8,-8.295,1,0.0364,0.919,0.00229,0.111,0.134,65.386,3,opera
7Di7t9yGoxdZRLAt5a4pi0,The Bangles,Different Light,Manic Monday,63,184173,False,0.685,0.571,2,-11.623,1,0.0299,0.335,2.38e-06,0.214,0.869,121.737,4,synth-pop
3NBK1KYBB7K278yKrWugnY,Chino Laborde;Federico Mizrahi,El Tango,Tarde,20,221500,False,0.571,0.383,2,-8.25,0,0.0903,0.974,0.0,0.199,0.447,129.229,4,tango
0xoOPcTdczrl2Z4gboGXBt,Pyotr Leshchenko,Шедевры русской эстрады. Кирпичики,Студенточка,9,191133,False,0.487,0.222,5,-14.956,0,0.0394,0.985,0.00155,0.126,0.477,109.195,4,romance
5bmZUFLASIgru2os6M6YYn,FEEST DJ MAARTEN;Benjamin;DJ Petit,Zij Weet Het,Zij Weet Het,29,236903,False,0.697,0.867,7,-4.574,1,0.0675,0.098,0.0,0.159,0.568,99.991,4,hardstyle
2CWEWZlJhHA4vGeE6L1186,Miso Colt,Dimmer Switch,Dimmer Switch,5,184800,False,0.587,0.328,4,-16.933,1,0.0524,0.921,0.934,0.185,0.288,74.993,4,study
2fK7vE5xZRvBAjKOOqkrSe,Eli Soares;Álvaro Tito,Memórias 2 (Ao Vivo),Não Há Barreiras - Ao Vivo,46,264164,False,0.565,0.526,9,-9.087,1,0.0578,0.518,4.47e-06,0.715,0.716,139.972,4,brazil
