,track_id,artists,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,sim
189,3GZD6HmiNUhxXYf8Gch723,['Frank_Ocean'],Lost,85,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,soul,0.7037727280474604
751,6Nle9hKrkL1wQpwNfEkxjh,['Frank_Ocean'],Chanel,79,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,soul,0.6901126091800195
499,4osgfFTICMkcGbbigdsa53,['Frank_Ocean'],Novacane,81,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,soul,0.688019393247368
753,2LMkwUfqC6S6s6qDVlEuzV,['Frank_Ocean'],White Ferrari,79,0.501,0.0958,0,-15.605,1,0.0433,0.77,0.0,0.298,0.204,108.741,soul,0.6826224250472845
2052,4QhWbupniDd44EDtnh2bFJ,['Frank_Ocean'],Pyramids,73,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,soul,0.6806649585481447
1270,5GUYJTQap5F3RDQiCOJhrS,['Frank_Ocean'],Self Control,76,0.581,0.21,8,-10.426,1,0.0321,0.768,0.0,0.369,0.452,80.099,soul,0.6798710359929491
896,7DfFc7a6Rwfi3YQMRbDMau,['Frank_Ocean'],Thinkin Bout You,78,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,soul,0.6798564554248127
279,40iJIUlhi6renaREYGeIDS,"['Drake', 'Travis_Scott']",Fair Trade (with Travis Scott),83,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,hip-hop,0.6701226440690679
191,31AOj9sFz2gM0O3hMARRBx,['R.E.M.'],Losing My Religion,84,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,alt-rock,0.6700223133304464
3509,35xSkNIXi504fcEwz9USRB,['Frank_Ocean'],Solo,69,0.469,0.289,5,-10.625,0,0.0366,0.85,2.48e-06,0.161,0.258,133.805,soul,0.6684122002770773
2348,19YKaevk2bce4odJkP5L22,['Frank_Ocean'],Nikes,72,0.633,0.395,8,-9.638,1,0.0857,0.692,0.000222,0.108,0.123,138.023,soul,0.6680551176159202
3514,4YZbVct8l9MnAVIROnLQdx,['Frank_Ocean'],Forrest Gump,69,0.701,0.417,6,-7.818,0,0.0329,0.0888,0.000648,0.375,0.186,95.003,soul,0.66257430800294
368,3eekarcy7kvN4yt5ZFzltW,['Travis_Scott'],HIGHEST IN THE ROOM,82,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,hip-hop,0.6573455790465825
5730,1VZLEW5ZfcAbKZ94XQiSZF,['Frank_Ocean'],Close To You,65,0.855,0.663,5,-8.401,0,0.2,0.194,0.0013,0.146,0.815,77.978,soul,0.655353248330265
280,2xLMifQCjDGFmkHkpNLD9h,['Travis_Scott'],SICKO MODE,83,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,hip-hop,0.6545387363531991
1196,6nzXkCBOhb2mxctNihOqbb,['M.I.A.'],Bad Girls,76,0.639,0.912,1,-2.621,1,0.0615,0.00107,0.0,0.097,0.343,143.448,indie-pop,0.6532766338980783
3512,3CgZCQyuyxHRMWB9BTwmni,['Frank_Ocean'],Swim Good,69,0.653,0.668,0,-8.183,1,0.0881,0.00116,0.00269,0.0731,0.711,160.048,soul,0.6528444875460445
5728,4xR3MAscflQ262kMeiKshQ,['Frank_Ocean'],Skyline To,65,0.43,0.296,3,-13.645,1,0.0583,0.882,6.21e-06,0.104,0.386,129.048,soul,0.639555132274766
459,5uEYRdEIh9Bo4fpjDd4Na9,"['Travis_Scott', 'HVME']",Goosebumps - Remix,81,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,hip-hop,0.6373078624896193
6397,2JUqYobT8NvARdPmc4ES2x,['Frank_Ocean'],Good Guy,64,0.525,0.131,0,-12.787,1,0.458,0.983,0.00433,0.12,0.811,107.007,soul,0.6361039090666987
998,1ixbwbeBi5ufN4noUKmW5a,['M.I.A.'],Paper Planes,77,0.447,0.848,2,-6.175,1,0.222,0.033,7.46e-05,0.65,0.485,172.253,indie-pop,0.6343830703040276
1,2tTmW7RDtMQtBk7m2rYeSw,"['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",99,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,hip-hop,0.6342856032569077
2566,5n8Aro6j1bEGIy7Tpo7FV7,['N.W.A.'],Fuck Tha Police,71,0.859,0.75,8,-8.325,0,0.303,0.0193,0.0,0.0538,0.857,98.691,hardcore,0.6333667334565877
23,3F5CgOj3wFlRv51JsHbxhe,"['Drake', '21_Savage']",Jimmy Cooks (feat. 21 Savage),91,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,hip-hop,0.6321751967405157
154,1zi7xx7UVEFkmKfv06H8x0,"['Drake', 'Wizkid', 'Kyla']",One Dance,85,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,hip-hop,0.6289575251471381
1292,6PypGyiu0Y2lCDBN1XZEnP,['R.E.M.'],Everybody Hurts,75,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,alt-rock,0.6286962574022085
218,6DCZcSspjsKoFjzjrWoCdn,['Drake'],God's Plan,84,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,hip-hop,0.6279939754353743
273,0VgkVdmE4gld66l8iyGjgx,['Future'],Mask Off,83,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,hip-hop,0.6268269159256985
2220,6KIKRz9eSTXdNsGUnomdtW,['N.W.A.'],Straight Outta Compton,72,0.834,0.878,8,-9.484,1,0.15,0.0461,0.0,0.334,0.418,102.848,hardcore,0.625211856007132
95,0e8nrvls4Qqv5Rfa2UhqmO,['Lil_Nas_X'],THATS WHAT I WANT,87,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,hip-hop,0.6251978591286251
2468,7me5d5XmtCCfbDk3SsyXqM,['D.O.D'],Every Step,71,0.662,0.872,0,-4.874,0,0.0318,0.0729,0.016,0.156,0.372,121.989,deep-house,0.6248953980505478
46,5HCyWlXZPP0y6Gqq8TgA20,"['The_Kid_LAROI', 'Justin_Bieber']",STAY (with Justin Bieber),89,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,hip-hop,0.6233569987924369
47,27ZZdyTSQWI7Cug2d2PkqV,['Armani_White'],BILLIE EILISH.,89,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,hip-hop,0.6233569987924369
2644,0UrWr7Jnu1heq1o99ZwUd0,['P.O.D.'],Youth of the Nation,71,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,metal,0.622071619581868
31,38T0tPVZHcPZyhtOcCP7pF,['Lil_Nas_X'],STAR WALKIN' (League of Legends Worlds Anthem),90,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,hip-hop,0.6188382103152491
97,4cacyP5c3PMlfnyjpg13xW,['Yung_Gravy'],Betty (Get Money),87,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,hip-hop,0.6179447144744312
8549,1bkvGbgK4HU8B7Ue4k7O7I,['G.E.M.'],光年之外 (電影 《Passengers》 中國區主題曲),61,0.539,0.668,1,-6.825,0,0.0825,0.4,0.0,0.0864,0.238,175.867,mandopop,0.6164220363289535
96,3yfqSUWxFvZELEM4PmlwIR,['Eminem'],The Real Slim Shady,87,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,hip-hop,0.6161314283108826
120,5PjdY0CKGZdEuoNab3yDmX,"['The_Kid_LAROI', 'Justin_Bieber']",STAY (with Justin Bieber),86,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,hip-hop,0.6151771426465587
121,4xkOaSrkexMciUUogZKVTS,"['Eminem', 'Nate_Dogg']",Till I Collapse,86,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,hip-hop,0.6151771426465587
48,1PckUlxKqWQs3RlWXVBLw3,['Lizzo'],About Damn Time,89,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,hip-hop,0.6143645020181812
270,1aL9518P5G72N92b48tuKw,['AP_Dhillon'],Summer High,83,0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984,hip-hop,0.6139945940289305
